stockid,tsn,scientificname,commonname,areaid,stocklong,region,area_overlap_perc,SSB,SSB_units,TB,TB_units,TC,TC_units,TL,TL_units,assessmethod,biomass,catch,survey_biomass_uncorrected,survey_biomass_corrected
CODNEAR,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II,Atlantic cod Northeast Arctic,Europe non EU,34.61777616,505833.3333,MT,1526666.667,MT,529166.6667,MT,529166.6667,MT,Unknown,1526666.667,529166.6667,895520.549,3484743.922
GHALNEAR,172930,Reinhardtius hippoglossoides,Greenland halibut,multinational-ICES-I-II,Greenland halibut Northeast Arctic,Europe non EU,34.61777616,552333.3333,MT,531166.6667,MT,15866.66667,MT,15850,MT,Unknown,531166.6667,15866.66667,84248.85317,288407.1073
GOLDREDNEAR,166781,Sebastes norvegicus,Golden Redfish,multinational-ICES-I-II,Golden Redfish Northeast Arctic,Europe non EU,34.61777616,50000,MT,67533.33333,MT,9455,MT,9455,MT,Unknown,67533.33333,9455,41964.38088,58724.98765
HADNEAR,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-I-II,Haddock Northeast Arctic,Europe non EU,34.61777616,148666.6667,MT,413833.3333,MT,121416.6667,MT,121416.6667,MT,Unknown,413833.3333,121416.6667,619382.8044,2225435.545
POLLNEAR,164727,Pollachius virens,Pollock,multinational-ICES-I-II,Pollock Northeast Arctic,Europe non EU,34.61777616,461000,MT,965166.6667,MT,155500,MT,155500,MT,Unknown,965166.6667,155500,413457.1967,7703781.917
REDDEEPI-II,166756,Sebastes mentella,Deepwater Redfish,multinational-ICES-I-II,Deepwater Redfish Northeast Arctic,Europe non EU,34.61777616,626500,MT,953000,MT,NA,NA,8661.666667,MT,Unknown,953000,8661.666667,127301.2946,273431.7615
CAPENOR,162035,Mallotus villosus,Capelin,multinational-ICES-I,Capelin Barents Sea,Europe non EU,39.54988182,1026333.333,MT,1932500,MT,NA,NA,321666.6667,MT,Unknown,1932500,321666.6667,34518.42331,1569868.617
FMEG8c9a,172834,Lepidorhombus boscii,Fourspotted megrim,multinational-ICES-VIIIc-IXa,Fourspotted megrim ICES VIIIc-IXa,European Union,41.90537441,3715,MT,4496.666667,MT,1240,MT,926.6666667,MT,Unknown,4496.666667,1240,92.53393265,772.3660941
HAKESOTH,164795,Merluccius merluccius,Hake,multinational-ICES-VIIIc-IXa,Hake Northeast Atlantic South,European Union,41.90537441,9010,MT,12983.33333,MT,8921.666667,MT,7363.333333,MT,Unknown,12983.33333,8921.666667,2100.299534,11230.26276
MEG8c9a,172835,Lepidorhombus whiffiagonis,Megrim,multinational-ICES-VIIIc-IXa,Megrim ICES VIIIc-IXa,European Union,41.90537441,926.3333333,MT,1037.333333,MT,182.1666667,MT,162.5,MT,Unknown,1037.333333,182.1666667,140.5643853,492.1069073
SARDPVIIIc-IXa,161813,Sardina pilchardus,European pilchard,multinational-ICES-VIIIc-IXa,European pilchard ICES VIIIc-IXa,European Union,41.90537441,456166.6667,MT,450833.3333,MT,96766.66667,MT,96766.66667,MT,Unknown,450833.3333,96766.66667,253.1620715,1249.996118
WANGLVIIIc-IXa,164501,Lophius piscatorius,White anglerfish,multinational-ICES-VIIIc-IXa,White anglerfish VIIIc-IXa,European Union,41.90537441,4983.333333,MT,7098.333333,MT,NA,NA,2093,MT,Unknown,7098.333333,2093,131.7909275,1594.429152
CODVIIek,164712,Gadus morhua,Atlantic Cod,multinational-ICES-VIIe-k,Atlantic Cod Celtic Sea,European Union,44.66694045,7345,MT,12728.33333,MT,6206.666667,MT,6206.666667,MT,Unknown,12728.33333,6206.666667,3458.134011,8216.075512
WHITVIIek,164758,Merlangius merlangus,Whiting,multinational-ICES-VIIe-k,Whiting ICES VIIe-k,European Union,44.66694045,45800,MT,79016.66667,MT,19066.66667,MT,12650,MT,Unknown,79016.66667,19066.66667,36159.7074,118907.7754
CODBA2532,164712,Gadus morhua,Atlantic cod,multinational-ICES-25-32,Atlantic cod Baltic Areas 25-32,European Union,45.30329805,79033.33333,MT,126666.6667,MT,82800,MT,73566.66667,MT,Unknown,126666.6667,82800,75463.02251,300970.1998
PERCHEBSAI,166707,Sebastes alutus,Pacific Ocean perch,USA-NMFS-EBSAI,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,US Alaska,46.94196473,210666.6667,MT,580000,MT,11238.33333,MT,NA,NA,Unknown,580000,11238.33333,555800.616,1822297.102
