"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"52","tlw","~~","tlw",0,0.959527868131425,0.206937101973189,4.63680924774785,3.53828663057776e-06,0.959527868131425,0.983261527066711,0.983261527066711
"53","z_prod","~~","z_prod",0,0.320539361797096,0.0691292966068822,4.63680924774786,3.53828663057776e-06,0.320539361797096,0.328171281498027,0.328171281498027
"54","NPP","~~","NPP",0,0.361509177975598,0.0779650743992082,4.63680924774785,3.53828663057776e-06,0.361509177975598,0.370116551059833,0.370116551059833
"55","ER_log","~~","ER_log",0,0.976744144668684,0.210650059659689,4.63680924774785,3.53828663057776e-06,0.976744144668684,1,1
"56","SST_time","~~","SST_time",0,0.976744144668684,0.210650059659688,4.63680924774788,3.53828663057776e-06,0.976744144668684,1,1
"57","biomass","r2","biomass",0,0.489146217405999,NA,NA,NA,NA,NA,NA
"58","tlw","r2","tlw",0,0.0167384729332886,NA,NA,NA,NA,NA,NA
"59","z_prod","r2","z_prod",0,0.671828718501973,NA,NA,NA,NA,NA,NA
"60","NPP","r2","NPP",0,0.629883448940167,NA,NA,NA,NA,NA,NA
"61","biomass","~","tlw",0,-0.407394594622994,0.118468834882449,-3.43883347065271,0.000584226499402041,-0.407394594622994,-0.400447167446993,-0.400447167446993
"62","biomass","~","ER_log",0,-0.568293632040313,0.112998105438487,-5.02923150644923,4.92449532485395e-07,-0.568293632040313,-0.551424192930893,-0.551424192930893
"63","biomass","~","SST_time",0,-0.717420770352062,0.110199137497104,-6.51022128345529,7.50401962790193e-11,-0.717420770352062,-0.696124585916851,-0.696124585916851
"64","biomass","~","z_prod",0,0.169631288938761,0.110454202583826,1.53576129265,0.124596936271974,0.169631288938761,0.164595890412898,0.164595890412898
"65","tlw","~","NPP",0,-0.376188532112481,0.125245325321452,-3.00361335760008,0.00266794139188931,-0.376188532112481,-0.371354434900173,-0.371354434900173
"66","tlw","~","ER_log",0,-0.441004950964868,0.125245325226346,-3.52112903350185,0.000429713458970804,-0.441004950964868,-0.435337950251842,-0.435337950251842
"67","z_prod","~","NPP",0,1.08033302509391,0.131012967115568,8.24600074999401,2.22044604925031e-16,1.08033302509391,1.08033302678244,1.08033302678244
"68","z_prod","~","SST_time",0,-0.436227360111714,0.131012967016082,-3.32965026323057,0.000869551306798888,-0.436227360111714,-0.43622736112478,-0.43622736112478
"69","NPP","~","SST_time",0,0.740776646097776,0.101270335676954,7.31484339561,2.57571741713036e-13,0.740776646097776,0.740776646660293,0.740776646660293
"70","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"71","biomass","~~","biomass",0,0.431676828011499,0.0920338089661692,4.69041575982344,2.72650465604762e-06,0.431676828011499,0.415880934078397,0.415880934078397
"72","tlw","~~","tlw",0,0.67451483433849,0.143807045873452,4.69041575982343,2.72650465604762e-06,0.67451483433849,0.672576752750498,0.672576752750498
"73","z_prod","~~","z_prod",0,0.333053648914375,0.0710072765333947,4.69041575982343,2.72650465604762e-06,0.333053648914375,0.340799084080183,0.340799084080183
"74","NPP","~~","NPP",0,0.440994278335215,0.0940202960497932,4.69041575982343,2.72650465604762e-06,0.440994278335215,0.451249959762732,0.451249959762732
"75","ER_log","~~","ER_log",0,0.977272727596115,0.208355245598293,4.69041575982343,2.72650465604762e-06,0.977272727596115,1,1
"76","SST_time","~~","SST_time",0,0.977272727596115,0.208355245598293,4.69041575982342,2.72650465604762e-06,0.977272727596115,1,1
"77","biomass","r2","biomass",0,0.584119065921603,NA,NA,NA,NA,NA,NA
"78","tlw","r2","tlw",0,0.327423247249502,NA,NA,NA,NA,NA,NA
"79","z_prod","r2","z_prod",0,0.659200915919817,NA,NA,NA,NA,NA,NA
"80","NPP","r2","NPP",0,0.548750040237268,NA,NA,NA,NA,NA,NA
"81","biomass","~","tlw",0,-0.213297227322659,0.14310551005127,-1.49048927079217,0.136095635494347,-0.213297227322659,-0.197216009712204,-0.197216009712204
"82","biomass","~","ER_log",0,-0.493513622556788,0.141673523500043,-3.48345696757262,0.000494982688791223,-0.493513622556788,-0.456181872618705,-0.456181872618705
"83","biomass","~","SST_time",0,-0.723601039498678,0.145725363165885,-4.96551199995962,6.85200557848376e-07,-0.723601039498678,-0.668864367952405,-0.668864367952405
"84","biomass","~","z_prod",0,0.202873395534637,0.145809863882669,1.39135577067603,0.164117569668278,0.202873395534637,0.187527058194461,0.187527058194461
"85","tlw","~","NPP",0,-0.163107146761294,0.214938810748703,-0.75885386260926,0.447939980872507,-0.163107146761294,-0.163062801701342,-0.163062801701342
"86","tlw","~","ER_log",0,-0.0613799181088078,0.214938804892946,-0.28556927233023,0.775208040908924,-0.0613799181088078,-0.0613632320007811,-0.0613632320007811
"87","z_prod","~","NPP",0,1.00009125089278,0.185765710799082,5.38361598914476,7.30041667118542e-08,1.00009125089278,1.00009130645007,1.00009130645007
"88","z_prod","~","SST_time",0,-0.444221039635035,0.185765705738113,-2.39129734882974,0.0167889494909768,-0.444221039635035,-0.444221076414785,-0.444221076414785
"89","NPP","~","SST_time",0,0.670849010641586,0.161829061848421,4.14541741130492,3.3919524331294e-05,0.670849010641586,0.670849028918084,0.670849028918084
"90","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"91","biomass","~~","biomass",0,0.399884645307547,0.123407080738715,3.24037034920393,0.00119374544487205,0.399884645307547,0.358758153258397,0.358758153258397
"92","tlw","~~","tlw",0,0.923973807408113,0.285144507520602,3.24037034920392,0.00119374544487205,0.923973807408113,0.969645076459727,0.969645076459727
"93","z_prod","~~","z_prod",0,0.379571359636706,0.117138264683219,3.24037034920393,0.00119374544487205,0.379571359636706,0.398549989115513,0.398549989115513
"94","NPP","~~","NPP",0,0.523772911088363,0.161639829600662,3.24037034920394,0.00119374544487205,0.523772911088363,0.549961580399663,0.549961580399663
"95","ER_log","~~","ER_log",0,0.952380963133636,0.293911146103287,3.24037034920393,0.00119374544487205,0.952380963133636,1,1
"96","SST_time","~~","SST_time",0,0.952380963133636,0.293911146103288,3.24037034920392,0.00119374544487205,0.952380963133636,1,1
"97","biomass","r2","biomass",0,0.641241846741603,NA,NA,NA,NA,NA,NA
"98","tlw","r2","tlw",0,0.030354923540273,NA,NA,NA,NA,NA,NA
"99","z_prod","r2","z_prod",0,0.601450010884487,NA,NA,NA,NA,NA,NA
"100","NPP","r2","NPP",0,0.450038419600337,NA,NA,NA,NA,NA,NA
"101","biomass","~","tlw",0,-0.237092784270028,0.144625969189922,-1.63935139448351,0.101140098169939,-0.237092784270028,-0.226963187175798,-0.226963187175798
"102","biomass","~","ER_log",0,-0.473242042857996,0.142589642228514,-3.31890897165994,0.000903698831332678,-0.473242042857996,-0.452780378111028,-0.452780378111028
"103","biomass","~","SST_time",0,-0.783259072014398,0.165141986483381,-4.74294326169573,2.10635279063176e-06,-0.783259072014398,-0.749393136425095,-0.749393136425095
"104","biomass","~","z_prod",0,0.370991793531015,0.165202047744179,2.24568519940812,0.0247241788585513,0.370991793531015,0.354951171920049,0.354951171920049
"105","tlw","~","NPP",0,-0.195671186458943,0.227167653522804,-0.861351444294865,0.389044510062247,-0.195671186458943,-0.195566405032862,-0.195566405032862
"106","tlw","~","ER_log",0,0.184098072825548,0.227167748433071,0.810405852483005,0.417706955325439,0.184098072825548,0.183999411897937,0.183999411897937
"107","z_prod","~","NPP",0,0.859317685733984,0.228897616290466,3.75415742487911,0.000173925534049602,0.859317685733984,0.859317977416865,0.859317977416865
"108","z_prod","~","SST_time",0,-0.12343612873642,0.228897711923509,-0.539263270476329,0.589705208667513,-0.12343612873642,-0.123436119063613,-0.123436119063613
"109","NPP","~","SST_time",0,0.754391389103437,0.154720979623793,4.87581833399553,1.08358297379318e-06,0.754391389103437,0.754391073920103,0.754391073920103
"110","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"111","biomass","~~","biomass",0,0.333589188792265,0.111196396264088,3,0.00269979606326021,0.333589188792265,0.323328632548726,0.323328632548726
"112","tlw","~~","tlw",0,0.877288040079434,0.292429346693145,3,0.00269979606326021,0.877288040079434,0.927897997643736,0.927897997643736
"113","z_prod","~~","z_prod",0,0.38379765755766,0.12793255251922,3,0.00269979606326021,0.38379765755766,0.406373982575698,0.406373982575698
"114","NPP","~~","NPP",0,0.406955830117844,0.135651943372614,3,0.00269979606326021,0.406955830117844,0.430894107589674,0.430894107589674
"115","ER_log","~~","ER_log",0,0.944444314505808,0.314814771501936,3,0.00269979606326021,0.944444314505808,1,1
"116","SST_time","~~","SST_time",0,0.944444314505808,0.314814771501936,3,0.00269979606326021,0.944444314505808,1,1
"117","biomass","r2","biomass",0,0.676671367451274,NA,NA,NA,NA,NA,NA
"118","tlw","r2","tlw",0,0.0721020023562643,NA,NA,NA,NA,NA,NA
"119","z_prod","r2","z_prod",0,0.593626017424302,NA,NA,NA,NA,NA,NA
"120","NPP","r2","NPP",0,0.569105892410326,NA,NA,NA,NA,NA,NA
"121","biomass","~","tlw",0,-0.176368621515014,0.154694430989126,-1.14010970134672,0.254240600693182,-0.176368621515014,-0.177570786617937,-0.177570786617937
"122","biomass","~","ER_log",0,-0.487583370518592,0.152729149347961,-3.19247093695086,0.00141061139359766,-0.487583370518592,-0.490872016341576,-0.490872016341576
"123","biomass","~","SST_time",0,-0.605094693658742,0.184708828418213,-3.27593812835357,0.00105311629048876,-0.605094693658742,-0.60917592828882,-0.60917592828882
"124","biomass","~","z_prod",0,0.188110360056744,0.184936805233849,1.01716021220807,0.309077220233045,0.188110360056744,0.189379068275462,0.189379068275462
