"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"48","z_prod","~","SST_time",0,-0.303979648790334,0.147780210403142,-2.05697128161533,0.0396889884101321,-0.303979648790334,-0.303979601366294,-0.303979601366294
"49","NPP","~","SST_time",0,0.777033509080361,0.0995262640304102,7.80732117949226,5.77315972805081e-15,0.777033509080361,0.777033445554858,0.777033445554858
"50","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"51","biomass","~~","biomass",0,0.492273842574362,0.11007577755413,4.47213595499958,7.74421643101597e-06,0.492273842574362,0.525749638400782,0.525749638400782
"52","tlw","~~","tlw",0,0.956368199056225,0.213850430460877,4.47213595499958,7.74421643101597e-06,0.956368199056225,0.982503627466718,0.982503627466718
"53","z_prod","~~","z_prod",0,0.337467838346639,0.0754601026762998,4.47213595499957,7.74421643101597e-06,0.337467838346639,0.346120833848085,0.346120833848085
"54","NPP","~~","NPP",0,0.38631352051738,0.086382329250412,4.47213595499958,7.74421643101597e-06,0.38631352051738,0.396219024489146,0.396219024489146
"55","ER_log","~~","ER_log",0,0.974999769004549,0.218016576154076,4.47213595499958,7.74421643101597e-06,0.974999769004549,1,1
"56","SST_time","~~","SST_time",0,0.974999769004549,0.218016576154077,4.47213595499958,7.74421643101597e-06,0.974999769004549,1,1
"57","biomass","r2","biomass",0,0.474250361599218,NA,NA,NA,NA,NA,NA
"58","tlw","r2","tlw",0,0.0174963725332824,NA,NA,NA,NA,NA,NA
"59","z_prod","r2","z_prod",0,0.653879166151915,NA,NA,NA,NA,NA,NA
"60","NPP","r2","NPP",0,0.603780975510854,NA,NA,NA,NA,NA,NA
"61","biomass","~","tlw",0,-0.40443843062039,0.120469274824629,-3.35719154289876,0.000787385447847289,-0.40443843062039,-0.399327912414324,-0.399327912414324
"62","biomass","~","ER_log",0,-0.571051542721292,0.115728111728289,-4.93442374711883,8.0387743284227e-07,-0.571051542721292,-0.558547873572388,-0.558547873572388
"63","biomass","~","SST_time",0,-0.655879147852389,0.108173407260206,-6.06321982883187,1.33423094794693e-09,-0.655879147852389,-0.641518104666461,-0.641518104666461
"64","biomass","~","z_prod",0,0.154378603058829,0.108277082623733,1.42577357385312,0.153933711237972,0.154378603058829,0.150998333184468,0.150998333184468
