"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"71","biomass","~~","biomass",0,0.478019393313516,0.101914077086316,4.69041575982343,2.72650465604762e-06,0.478019393313516,0.477018880971393,0.477018880971393
"72","tlw","~~","tlw",0,0.67451481075618,0.143807040845686,4.69041575982344,2.72650465604762e-06,0.67451481075618,0.672576767148767,0.672576767148767
"73","z_prod","~~","z_prod",0,0.336808674738418,0.0718078507290145,4.69041575982344,2.72650465604762e-06,0.336808674738418,0.344641405691664,0.344641405691664
"74","NPP","~~","NPP",0,0.599914880494905,0.127902282273904,4.69041575982343,2.72650465604762e-06,0.599914880494905,0.613866359068974,0.613866359068974
"75","ER_log","~~","ER_log",0,0.977272738449188,0.208355247912176,4.69041575982343,2.72650465604762e-06,0.977272738449188,1,1
"76","T_time","~~","T_time",0,0.977272738449188,0.208355247912176,4.69041575982343,2.72650465604762e-06,0.977272738449188,1,1
"77","biomass","r2","biomass",0,0.522981119028607,NA,NA,NA,NA,NA,NA
"78","tlw","r2","tlw",0,0.327423232851233,NA,NA,NA,NA,NA,NA
"79","z_prod","r2","z_prod",0,0.655358594308336,NA,NA,NA,NA,NA,NA
"80","NPP","r2","NPP",0,0.386133640931026,NA,NA,NA,NA,NA,NA
"81","biomass","~","tlw",0,-0.0644243885290263,0.15385730814209,-0.418728166422418,0.675414808303965,-0.0644243885290263,-0.0605598056803511,-0.0605598056803511
"82","biomass","~","ER_log",0,-0.491521506497772,0.152444452573251,-3.22426627011298,0.00126295907343188,-0.491521506497772,-0.461911321979226,-0.461911321979226
"83","biomass","~","T_time",0,-0.639617159861731,0.152812460971681,-4.18563483497765,2.84370201328876e-05,-0.639617159861731,-0.601085413286324,-0.601085413286324
"84","biomass","~","z_prod",0,0.0779983099086502,0.153313393612165,0.508750788636,0.610926917604153,0.0779983099086502,0.0732995564359237,0.0732995564359237
"85","tlw","~","NPP",0,-0.16310714674779,0.214938785081408,-0.758853953166308,0.447939926695368,-0.16310714674779,-0.163062820673123,-0.163062820673123
"86","tlw","~","ER_log",0,-0.0613799158304802,0.214938807504624,-0.285569258260446,0.775208051686453,-0.0613799158304802,-0.0613632287941376,-0.0613632287941376
"87","z_prod","~","NPP",0,0.900706906264703,0.157126043801822,5.73238455237081,9.90284365620653e-09,0.900706906264703,0.900706851156082,0.900706851156082
"88","z_prod","~","T_time",0,-0.397158200625314,0.157126060193797,-2.52764054629427,0.0114831852342485,-0.397158200625314,-0.39715813489267,-0.39715813489267
"89","NPP","~","T_time",0,0.500105132481384,0.188969015489092,2.64649276595428,0.00813312447286041,0.500105132481384,0.500105080308557,0.500105080308557
"90","ER_log","~~","T_time",0,0,0,NA,NA,0,0,0
"91","biomass","~~","biomass",0,0.463002324005381,0.142885619268528,3.24037034920393,0.00119374544487205,0.463002324005381,0.429343440576274,0.429343440576274
"92","tlw","~~","tlw",0,0.923973399073409,0.285144381505776,3.24037034920393,0.00119374544487205,0.923973399073409,0.969645070666083,0.969645070666083
"93","z_prod","~~","z_prod",0,0.370276922261107,0.114269939037084,3.24037034920393,0.00119374544487205,0.370276922261107,0.388790816556864,0.388790816556864
"94","NPP","~~","NPP",0,0.714185451383458,0.220402415285313,3.24037034920393,0.00119374544487205,0.714185451383458,0.749894908649572,0.749894908649572
"95","ER_log","~~","ER_log",0,0.952380519100501,0.293911009071687,3.24037034920393,0.00119374544487205,0.952380519100501,1,1
"96","T_time","~~","T_time",0,0.952380519100501,0.293911009071686,3.24037034920393,0.00119374544487205,0.952380519100501,1,1
"97","biomass","r2","biomass",0,0.570656559423726,NA,NA,NA,NA,NA,NA
"98","tlw","r2","tlw",0,0.0303549293339167,NA,NA,NA,NA,NA,NA
"99","z_prod","r2","z_prod",0,0.611209183443136,NA,NA,NA,NA,NA,NA
"100","NPP","r2","NPP",0,0.250105091350428,NA,NA,NA,NA,NA,NA
"101","biomass","~","tlw",0,-0.156560519292741,0.153693982897659,-1.01865093441551,0.308368714070508,-0.156560519292741,-0.154829902715451,-0.154829902715451
"102","biomass","~","ER_log",0,-0.450908186543081,0.151624325411218,-2.97385122947905,0.00294087621458128,-0.450908186543081,-0.44568499885955,-0.44568499885955
"103","biomass","~","T_time",0,-0.672150250852096,0.161813103177358,-4.15386787382339,3.26901979879057e-05,-0.672150250852096,-0.66436426023026,-0.66436426023026
