"Family","Genus","Species","lme","fao","Subspecies"
"Syngnathidae","Entelurus","aequoreus","23",27,""
"Labridae","Symphodus","melops","23",27,""
"Psychrolutidae","Cottunculus","microps","22",27,""
"Clupeidae","Alosa","agone","22",27,""
"Trachinidae","Echiichthys","vipera","24",27,""
"Callionymidae","Callionymus","lyra","24",27,""
"Scombridae","Scomber","scombrus","24",27,""
"Triglidae","Chelidonichthys","lucerna","24",27,""
"Clupeidae","Sardina","pilchardus","24",27,""
"Soleidae","Solea","solea","24",27,""
"Scyliorhinidae","Scyliorhinus","canicula","24",27,""
"Mullidae","Mullus","surmuletus","24",27,""
"Carangidae","Trachurus","trachurus","24",27,""
"Ammodytidae","Hyperoplus","lanceolatus","24",27,""
"Gadidae","Trisopterus","minutus","24",27,""
"Gobiidae",NA,"","24",27,""
"Gadidae","Trisopterus","minutus","23",27,""
"Gobiidae","Aphia","minuta","23",27,""
"Labridae","Centrolabrus","exoletus","22",27,""
"Cottidae","Myoxocephalus","scorpius","24",27,""
"Soleidae","Buglossidium","luteum","24",27,""
"Triakidae","Mustelus","","24",27,""
"Bothidae","Arnoglossus","laterna","24",27,""
"Lotidae","Ciliata","","24",27,""
"Engraulidae","Engraulis","encrasicolus","24",27,""
"Triglidae","Eutrigla","gurnardus","24",27,""
"Trachinidae","Trachinus","draco","24",27,""
"Triglidae","Chelidonichthys","cuculus","24",27,""
"Gadidae","Trisopterus","luscus","24",27,""
"Ammodytidae","Ammodytes","tobianus","24",27,""
"Rajidae","Raja","microocellata","24",27,""
"Sparidae","Spondyliosoma","cantharus","24",27,""
"Liparidae","Liparis","","24",27,""
"Rajidae","Raja","montagui","24",27,""
"Soleidae","Microchirus","variegatus","24",27,""
"Rajidae","Raja","","24",27,""
"Syngnathidae","Syngnathus","","24",27,""
"Scophthalmidae","Scophthalmus","maximus","24",27,""
"Labridae","Ctenolabrus","rupestris","24",27,""
"Lotidae","Gaidropsarus","argentatus","22",27,""
"Sparidae","Sarpa","salpa","22",27,""
"Trachinidae","Trachinus","draco","23",27,""
"Stichaeidae","Lumpenus","lampretaeformis","23",27,""
"Cottidae","Triglops","","22",27,""
"Gadidae","Pollachius","virens","23",27,""
"Clupeidae","Alosa","agone","23",27,""
"Clupeidae",NA,"","22",27,""
"Gobiidae","Buenia","jeffreysii","22",27,""
"Cottidae","Myoxocephalus","scorpius","23",27,""
"Gobiidae","Pomatoschistus","","23",27,""
"Centriscidae","Macroramphosus","scolopax","22",27,""
"Bramidae","Pterycombus","brama","22",27,""
"Soleidae","Buglossidium","luteum","23",27,""
"Salmonidae","Salmo","salar","23",27,""
"Salmonidae","Salmo","trutta trutta","23",27,"trutta"
"Lophiidae","Lophius","piscatorius","24",27,""
"Zeidae","Zeus","faber","24",27,""
