Family,Genus,Species,lme,fao,Subspecies
Lotidae,Brosme,brosme,20,27,
Lotidae,Brosme,brosme,21,27,
Lotidae,Brosme,brosme,22,27,
Lotidae,Ciliata,mustela,20,27,
Lotidae,Ciliata,septentrionalis,20,27,
Lotidae,Enchelyopus,cimbrius,22,27,
Lotidae,Enchelyopus,cimbrius,20,27,
Lotidae,Enchelyopus,cimbrius,21,27,
Lotidae,Gaidropsarus,argentatus,20,27,
Lotidae,Gaidropsarus,argentatus,21,27,
Lotidae,Gaidropsarus,argentatus,22,27,
Lotidae,Gaidropsarus,macrophthalmus,22,27,
Lotidae,Gaidropsarus,vulgaris,20,27,
Lotidae,Gaidropsarus,vulgaris,21,27,
Lotidae,Gaidropsarus,vulgaris,22,27,
Lotidae,Gaidropsarus,,20,27,
Lotidae,Gaidropsarus,,21,27,
Lotidae,Molva,dypterygia,20,27,
Lotidae,Molva,dypterygia,22,27,
Lotidae,Molva,dypterygia,21,27,
Lotidae,Molva,molva,20,27,
Lotidae,Molva,molva,22,27,
Lotidae,Molva,molva,21,27,
Macrouridae,Coelorinchus,caelorhincus,22,27,
Macrouridae,Coelorinchus,caelorhincus,21,27,
Macrouridae,Coryphaenoides,rupestris,22,27,
Macrouridae,Coryphaenoides,rupestris,20,27,
Macrouridae,Coryphaenoides,rupestris,21,27,
Macrouridae,Macrourus,berglax,20,27,
Macrouridae,Macrourus,berglax,21,27,
Macrouridae,Macrourus,berglax,22,27,
Merlucciidae,Merluccius,merluccius,22,27,
Merlucciidae,Merluccius,merluccius,21,27,
Merlucciidae,Merluccius,merluccius,20,27,
Mullidae,Mullus,surmuletus,22,27,
Myctophidae,Benthosema,glaciale,20,27,
Myctophidae,Benthosema,glaciale,22,27,
Myctophidae,Benthosema,glaciale,21,27,
Myctophidae,Lampanyctus,crocodilus,22,27,
Myctophidae,Lampanyctus,macdonaldi,20,27,
Myctophidae,NA,,20,27,
Myctophidae,NA,,21,27,
Myctophidae,NA,,22,27,
Myxinidae,Myxine,glutinosa,22,27,
Myxinidae,Myxine,glutinosa,20,27,
Myxinidae,Myxine,glutinosa,21,27,
Nemichthyidae,NA,,20,27,
Osmeridae,Mallotus,villosus,20,27,
Osmeridae,Mallotus,villosus,21,27,
Paralepididae,Arctozenus,risso,20,27,
Paralepididae,Arctozenus,risso,21,27,
Paralepididae,Arctozenus,risso,22,27,
Paralepididae,NA,,20,27,
Paralepididae,NA,,21,27,
Paralepididae,NA,,22,27,
Paralepididae,Paralepis,coregonoides,22,27,
Paralepididae,Paralepis,coregonoides,20,27,
Pentanchidae,Galeus,melastomus,21,27,
Pentanchidae,Galeus,melastomus,22,27,
Pentanchidae,Galeus,melastomus,20,27,
Petromyzontidae,NA,,22,27,
Petromyzontidae,Petromyzon,marinus,22,27,
Petromyzontidae,Petromyzon,marinus,20,27,
Pholidae,Pholis,gunnellus,22,27,
Pholidae,Pholis,gunnellus,20,27,
Phycidae,Phycis,blennoides,21,27,
Phycidae,Phycis,blennoides,20,27,
Phycidae,Phycis,blennoides,22,27,
Phycidae,Urophycis,chuss,21,27,
Pleuronectidae,Glyptocephalus,cynoglossus,22,27,
Pleuronectidae,Glyptocephalus,cynoglossus,21,27,
Pleuronectidae,Glyptocephalus,cynoglossus,20,27,
Pleuronectidae,Hippoglossoides,platessoides,20,27,
Pleuronectidae,Hippoglossoides,platessoides,22,27,
Pleuronectidae,Hippoglossoides,platessoides,21,27,
Pleuronectidae,Hippoglossus,hippoglossus,20,27,
Pleuronectidae,Hippoglossus,hippoglossus,21,27,
Pleuronectidae,Hippoglossus,hippoglossus,22,27,
Pleuronectidae,Limanda,limanda,22,27,
Pleuronectidae,Limanda,limanda,21,27,
Pleuronectidae,Limanda,limanda,20,27,
Pleuronectidae,Microstomus,kitt,22,27,
Pleuronectidae,Microstomus,kitt,20,27,
Pleuronectidae,Microstomus,kitt,21,27,
Pleuronectidae,NA,,20,27,
Pleuronectidae,NA,,22,27,
Pleuronectidae,Platichthys,flesus,22,27,
Pleuronectidae,Platichthys,flesus,20,27,
Pleuronectidae,Platichthys,flesus,21,27,
Pleuronectidae,Pleuronectes,platessa,22,27,
Pleuronectidae,Pleuronectes,platessa,20,27,
Pleuronectidae,Pleuronectes,platessa,21,27,
Pleuronectidae,Reinhardtius,hippoglossoides,20,27,
Pleuronectidae,Reinhardtius,hippoglossoides,21,27,
Pleuronectidae,Reinhardtius,hippoglossoides,22,27,
Psychrolutidae,Cottunculus,microps,20,27,
Psychrolutidae,Cottunculus,microps,22,27,
Psychrolutidae,Cottunculus,microps,21,27,
Rajidae,Amblyraja,hyperborea,20,27,
Rajidae,Amblyraja,hyperborea,21,27,
Rajidae,Amblyraja,radiata,22,27,
Rajidae,Amblyraja,radiata,20,27,
Rajidae,Amblyraja,radiata,21,27,
Rajidae,Dipturus,batis,20,27,
Rajidae,Dipturus,batis,22,27,
Rajidae,Dipturus,batis,21,27,
Rajidae,Dipturus,nidarosiensis,22,27,
Rajidae,Dipturus,nidarosiensis,21,27,
Rajidae,Dipturus,nidarosiensis,20,27,
Rajidae,Dipturus,oxyrinchus,21,27,
Rajidae,Dipturus,oxyrinchus,22,27,
Rajidae,Dipturus,oxyrinchus,20,27,
Rajidae,Leucoraja,circularis,22,27,
Rajidae,Leucoraja,circularis,21,27,
Rajidae,Leucoraja,circularis,20,27,
Rajidae,Leucoraja,fullonica,20,27,
Rajidae,Leucoraja,fullonica,21,27,
Rajidae,Leucoraja,fullonica,22,27,
Rajidae,Leucoraja,naevus,22,27,
Rajidae,NA,,20,27,
Rajidae,NA,,21,27,
Rajidae,NA,,22,27,
Rajidae,Raja,clavata,20,27,
Rajidae,Raja,clavata,22,27,
Rajidae,Raja,clavata,21,27,
Rajidae,Raja,montagui,22,27,
Rajidae,Raja,montagui,21,27,
Rajidae,Raja,montagui,20,27,
Rajidae,Raja,,20,27,
Rajidae,Raja,,22,27,
Rajidae,Rajella,fyllae,22,27,
Rajidae,Rajella,fyllae,20,27,
Rajidae,Rajella,fyllae,21,27,
Rajidae,Rajella,lintea,22,27,
Rajidae,Rajella,lintea,20,27,
Rajidae,Rajella,lintea,21,27,
Salmonidae,Salmo,salar,20,27,
Scombridae,Scomber,scombrus,21,27,
Scombridae,Scomber,scombrus,22,27,
Scombridae,Scomber,scombrus,20,27,
Scophthalmidae,Lepidorhombus,boscii,22,27,
Scophthalmidae,Lepidorhombus,boscii,20,27,
Scophthalmidae,Lepidorhombus,boscii,21,27,
Scophthalmidae,Lepidorhombus,whiffiagonis,22,27,
Scophthalmidae,Lepidorhombus,whiffiagonis,21,27,
Scophthalmidae,Lepidorhombus,whiffiagonis,20,27,
Scophthalmidae,Phrynorhombus,norvegicus,22,27,
Scophthalmidae,Phrynorhombus,norvegicus,21,27,
Scophthalmidae,Phrynorhombus,norvegicus,20,27,
Scophthalmidae,Scophthalmus,maximus,22,27,
Scophthalmidae,Scophthalmus,maximus,20,27,
Scophthalmidae,Scophthalmus,rhombus,22,27,
Scophthalmidae,Scophthalmus,,22,27,
Scophthalmidae,Scophthalmus,,20,27,
Scophthalmidae,Zeugopterus,punctatus,21,27,
Scophthalmidae,Zeugopterus,punctatus,22,27,
Scorpaenidae,NA,,21,27,
Scorpaenidae,NA,,20,27,
Scorpaenidae,NA,,22,27,
Scyliorhinidae,NA,,22,27,
