family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Anarhichadidae,Anarhichas,denticulatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,denticulatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Eumicrotremus,derjugini,20,27,species,NA,fb,TL,spe-LME,3,0.01
Trachinidae,Trachinus,draco,22,27,species,NA,fb,TL,spe-LME,3,0.01
Carapidae,Echiodon,drummondii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Carapidae,Echiodon,drummondii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Carapidae,Echiodon,drummondii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Molva,dypterygia,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Molva,dypterygia,22,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Molva,dypterygia,21,27,species,NA,fb,TL,spe-LME,3,0.01
Engraulidae,Engraulis,encrasicolus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Engraulidae,Engraulis,encrasicolus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,esmarkii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,esmarkii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,esmarkii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,esmarkii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,esmarkii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,esmarkii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,eudipleurostictus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,eudipleurostictus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,eudipleurostictus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,fabricii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,fabricii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,fabricii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodonus,flagellicauda,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodonus,flagellicauda,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Gobiusculus,flavescens,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Platichthys,flesus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Platichthys,flesus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Platichthys,flesus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,frigidus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,fullonica,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,fullonica,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Leucoraja,fullonica,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Rajella,fyllae,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Rajella,fyllae,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Rajella,fyllae,21,27,species,NA,fb,TL,spe-LME,3,0.01
Triakidae,Galeorhinus,galeus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Myctophidae,Benthosema,glaciale,20,27,species,NA,fb,TL,spe-LME,3,0.01
Myctophidae,Benthosema,glaciale,22,27,species,NA,fb,TL,spe-LME,3,0.01
Myctophidae,Benthosema,glaciale,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Arctogadus,glacialis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Arctogadus,glacialis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Myxinidae,Myxine,glutinosa,22,27,species,NA,fb,TL,spe-LME,3,0.01
Myxinidae,Myxine,glutinosa,20,27,species,NA,fb,TL,spe-LME,3,0.01
Myxinidae,Myxine,glutinosa,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,gracilis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,gracilis,22,27,species,NA,fb,TL,spe-LME,3,0.01
